ALPH,Main,Season 7,2,Denver Exeggcutes,London Umbreons,London Umbreons,0,6,https://replay.pokemonshowdown.com/gen7anythinggoes-918805408
ALPH,Main,Season 7,4,Richmond Reuniclus,Natchez Trace Naganadels,Natchez Trace Naganadels,0,2,https://replay.pokemonshowdown.com/gen7anythinggoes-918712650
ALPH,Main,Season 7,4,Cladchup Buluswines,Niagra Gengars,Cladchup Buluswines,6,0,http://replay.pokemonshowdown.com/gen7ubers-919781171
ALPH,Main,Season 7,3,Xerneas Funhouse,Uprising Flygon,Uprising Flygon,0,4,http://replay.pokemonshowdown.com/gen7anythinggoes-919842253
ALPH,Main,Season 7,4,San Antonio Espurrs,Atlanta Haunters,San Antonio Espurrs,5,0,http://replay.pokemonshowdown.com/gen7anythinggoes-920108092
ALPH,Main,Season 7,4,Denver Exeggcutes,Los Lombres Hermanos,Los Lombres Hermanos,0,5,http://replay.pokemonshowdown.com/gen7anythinggoes-920580517
ALPH,Main,Season 7,5,San Antonio Espurrs,Chelseaking Pokemon Club,San Antonio Espurrs,2,0,http://replay.pokemonshowdown.com/draftfrontier-gen7draftleaguetier-57980
ALPH,Main,Season 7,3,Bordeaux Bewear,London Umbreons,Bordeaux Bewear,1,0,https://replay.pokemonshowdown.com/gen7anythinggoes-921101660
ALPH,Main,Season 7,4,Bordeaux Bewear,South Ajax Starmies,Bordeaux Bewear,4,0,https://replay.pokemonshowdown.com/gen7ou-921087563
ALPH,Main,Season 7,3,Richmond Reuniclus,Denver Exeggcutes,Richmond Reuniclus,3,0,https://replay.pokemonshowdown.com/gen7anythinggoes-920905587
ALPH,Main,Season 7,5,Cladchup Buluswines,Ottowa Nidokings,Cladchup Buluswines,2,0,http://replay.pokemonshowdown.com/gen7anythinggoes-921557518
ALPH,Main,Season 7,5,Richmond Reuniclus,South Ajax Starmies,South Ajax Starmies,0,1,https://replay.pokemonshowdown.com/gen7customgame-925354491
ALPH,Main,Season 7,5,Niagra Gengars,Xerneas Funhouse,Niagra Gengars,2,0,http://replay.pokemonshowdown.com/gen7anythinggoes-925161362
ALPH,Main,Season 7,5,Uprising Flygon,Atlanta Haunters,Atlanta Haunters,0,1,http://replay.pokemonshowdown.com/gen7anythinggoes-925236509
ALPH,Main,Season 7,5,Bordeaux Bewear,Los Lombres Hermanos,Bordeaux Bewear,4,2,http://replay.pokemonshowdown.com/gen7anythinggoes-925062445
ALPH,Main,Season 7,5,Denver Exeggcutes,Gotham City Gothitelles,Gotham City Gothitelles,0,4,https://replay.pokemonshowdown.com/gen7anythinggoes-925371263
ALPH,Main,Season 7,5,London Umbreons,Natchez Trace Naganadels,London Umbreons,3,0,https://replay.pokemonshowdown.com/gen7anythinggoes-924716225
ALPH,Main,Season 7,4,London Umbreons,Gotham City Gothitelles,London Umbreons,4,0,https://replay.pokemonshowdown.com/gen7anythinggoes-924633851
ALPH,Main,Season 7,6,Cladchup Buluswines,Atlanta Haunters,Cladchup Buluswines,4,0,http://replay.pokemonshowdown.com/gen7ubers-928175539
ALPH,Main,Season 7,6,San Antonio Espurrs,Niagra Gengars,San Antonio Espurrs,4,0,http://replay.pokemonshowdown.com/draftfrontier-gen7draftleaguetier-60528
ALPH,Main,Season 7,6,Uprising Flygon,Chelseaking Pokemon Club,Uprising Flygon,3,0,http://replay.pokemonshowdown.com/gen7anythinggoes-928840385
ALPH,Main,Season 7,6,Richmond Reuniclus,Los Lombres Hermanos,Los Lombres Hermanos,0,3,https://replay.pokemonshowdown.com/gen7anythinggoes-929514438
ALPH,Main,Season 7,6,Bordeaux Bewear,Gotham City Gothitelles,Gotham City Gothitelles,0,3,https://replay.pokemonshowdown.com/gen7anythinggoes-930113596
ALPH,Main,Season 7,7,San Antonio Espurrs,Ottowa Nidokings,San Antonio Espurrs,4,0,http://replay.pokemonshowdown.com/gen7anythinggoes-930802230
ALPH,Main,Season 7,7,Cladchup Buluswines,Chelseaking Pokemon Club,Cladchup Buluswines,4,0,http://replay.pokemonshowdown.com/gen7anythinggoes-931818855
ALPH,Main,Season 7,6,Xerneas Funhouse,Ottowa Nidokings,Ottowa Nidokings,0,2,http://replay.pokemonshowdown.com/gen7anythinggoes-931906428
