All Star Premier League,ORAS Standard,Season 5,Colombia Clangers,Vaporeon,Seismitoad
Heatmor Feeding Grounds,Main,Season 2,Ori and the Will-O-Wisps,Audino,Chansey
Cascade Draft League,Challengers Div 1,Season 9,Smog Frogs,Braviary,Linoone
Cascade Draft League,Challengers Div 2,Season 9,New York Yanmegas,Jirachi,Hoopa-Unbound
All Star Premier League,SS National Dex,Season 5,Cherrygrove Chikoritas,Decidueye,Cursola
Corn's Draft League,Main,Season 1,Boston Red Sawks,Goodra,Cacturne
Cascade Draft League,Challengers Div 2,Season 9,Santiago Surge-Surfers,Grotle,Cradily
Cascade Draft League,Challengers Div 1,Season 9,Gibby Gibles,Golurk,Gible
Corn's Draft League,Main,Season 1,Absolute Victory,Emboar,Sandslash-Alola
Cascade Draft League,Masters,Season 9,Overdrive Pignites,Omastar,Golisopod
Cascade Draft League,Masters,Season 9,Kajaani Sceptiles,Zoroark,Lycanroc
Cascade Draft League,Masters,Season 9,Tampa Bay Mukkaneers,Registeel,Stakataka
Corn's Draft League,Main,Season 1,SoCal Stakatakas,Gurdurr,Rhydon
All Star Premier League,SS National Dex,Season 5,Doomphants,Moltres-Galar,Scrafty
Cascade Draft League,Challengers Div 1,Season 9,Sheedge Squad,Incineroar,Articuno-Galar
Cascade Draft League,Challengers Div 2,Season 9,Sugar Sweet Sylveons,Gourgeist,Kangaskhan
Corn's Draft League,Main,Season 1,Dallas Glastriers,Gligar,Registeel
Cascade Draft League,Masters,Season 9,Vegas Night Marchers,Mismagius,Passimian
Corn's Draft League,Main,Season 1,Dallas Glastriers,Mr.Mime-Galar,Butterfree
All Star Premier League,SS Tier 3 and Below,Season 5,Bordeaux Bewear,Aggron,Ferroseed
Corn's Draft League,Main,Season 1,Absolute Victory,Porygon-Z,Weezing-Galar
Corn's Draft League,Main,Season 1,King Groudon,Mr.Rime,Tauros
Corn's Draft League,Main,Season 1,Absolute Victory,Yanmega,Porygon-Z
All Star Premier League,ORAS Standard,Season 5,Colombia Clangers,Shuckle,Ditto
Corn's Draft League,Main,Season 1,Shitposting Serperiors,Primeape,Komala
Corn's Draft League,Main,Season 1,King Groudon,Roserade,Miltank
Cascade Draft League,Masters,Season 9,Vegas Night Marchers,Toxapex,Darmanitan-Galar
Cascade Draft League,Challengers Div 1,Season 9,Smog Frogs,Mesprit,Azelf
Cascade Draft League,Challengers Div 2,Season 9,New York Yanmegas,Kartana,Serperior
Corn's Draft League,Main,Season 1,King Groudon,Shiinotic,Carbink
Cascade Draft League,Challengers Div 1,Season 9,Detroit Lycanrocs,Mamoswine,Darmanitan-Galar
Corn's Draft League,Main,Season 1,King Groudon,Drapion,Articuno
Cascade Draft League,Masters,Season 9,Shadows' Stallions,Feraligatr,Blissey
