Cascade Draft League,Challengers,Season 6,United Kingdra,Mesprit,Uxie
Cascade Draft League,Challengers,Season 6,Tahiti Tailslappers,Uxie,Mesprit
All Star Premier League,Main,Season 1,JakeInPeoria,Drapion,Salazzle
All Star Premier League,Main,Season 1,thegliscorguy,Salazzle,Drapion
All Star Premier League,Main,Season 1,Bordeux Bewear,Venusaur-Mega,Latios-Mega
All Star Premier League,Main,Season 1,Cape Town Krookodiles,Latios-Mega,Venusaur-Mega
All Star Premier League,Main,Season 1,JakeInPeoria,Entei,Staraptor
All Star Premier League,Main,Season 1,thegliscorguy,Staraptor,Entei
ALPH,Main,Season 8,Chelseaking PC,Golurk,Piloswine
ALPH,Main,Season 8,Kajaani Sceptiles,Piloswine,Golurk
UPBA,Main,Season 6,London Umbreons,Tapu Koko,Celesteela
UPBA,Main,Season 6,Colorado Mamoswine,Necrozma,Victini
UPBA,Main,Season 6,Houston Gastros,Victini,Necrozma
UPBA,Main,Season 6,Autism,Celesteela,Tapu Koko
UPBA,Main,Season 5,Washington Blizzards,Kartana,Dragonite
UPBA,Main,Season 5,Washington Blizzards,Haxorus,Vaporeon
UPBA,Main,Season 5,Washington Blizzards,Jellicent,Bronzong
UPBA,Main,Season 5,Utah Weez,Bronzong,Jellicent
UPBA,Main,Season 5,Utah Weez,Dragonite,Kartana
UPBA,Main,Season 5,Utah Weez,Vaporeon,Haxorus
UPBA,Main,Season 2,Twilit Tapus,Lopunny-Mega,Charizard-Mega-X
UPBA,Main,Season 2,Ottawa Nidokings,Gliscor,Donphan
UPBA,Main,Season 2,St. John's Sharpedoes,Donphan,Gliscor
UPBA,Main,Season 2,Minnesota Hyperfangs,Bronzong,Hitmonlee
UPBA,Main,Season 2,Minnesota Hyperfangs,Heliolisk,Galvantula
UPBA,Main,Season 2,Sydney Swannas,Charizard-Mega-X,Lopunny-Mega
UPBA,Main,Season 2,Sydney Swannas,Persian-Alola,Togetic
UPBA,Main,Season 2,Delaware Kyurem-Black Foxes,Hitmonlee,Bronzong
UPBA,Main,Season 2,Delaware Kyurem-Black Foxes,Galvantula,Heliolisk
UPBA,Main,Season 2,Delaware Kyurem-Black Foxes,Togetic,Persian-Alola
UPBA,Main,Season 3,Manchester Marowaks,Cradily,Stakataka
UPBA,Main,Season 3,New England Primarinas,Stakataka,Cradily
UPBA,Main,Season 3,Delaware Kyurem-Black Foxes,Zapdos,Celesteela
UPBA,Main,Season 3,Mega Audino and Her Good Boys,Marowak-Alola,Arcanine
UPBA,Main,Season 3,Gallifreyan Gallades,Arcanine,Marowak-Alola
UPBA,Main,Season 3,Southern Shaymins,Celesteela,Zapdos
UPBA,Main,Season 4,Simley Shelmets,Golem,Rampardos
UPBA,Main,Season 4,Avalon Articunos,Togekiss,Ninetales-Alola
UPBA,Main,Season 4,Avalon Articunos,Zeraora,Kyurem-Black
UPBA,Main,Season 4,Avalon Articunos,Volcarona,Emboar
UPBA,Main,Season 4,Memphis Metagross,Rampardos,Golem
UPBA,Main,Season 4,Memphis Metagross,Sceptile,Amoonguss
UPBA,Main,Season 4,Galveston Gourgeist,Rotom-Mow,Alomomola
UPBA,Main,Season 4,Galveston Gourgeist,Comfey,Greninja
UPBA,Main,Season 4,Galveston Gourgeist,Milotic,Clefable
UPBA,Main,Season 4,Colorado Mamoswine,Stoutland,Golbat
UPBA,Main,Season 4,Colorado Mamoswine,Infernape,Volcarona
UPBA,Main,Season 4,Colorado Mamoswine,Tentacruel,Roserade
UPBA,Main,Season 4,Toronto Fire Chickens,Tornadus,Porygon2
UPBA,Main,Season 4,Toronto Fire Chickens,Zoroark,Registeel
UPBA,Main,Season 4,Evergarden Eevees,Machamp,Jolteon
All Star Premier League,Ubers,Season 2,young,Cloyster,Tsareena
All Star Premier League,Ubers,Season 2,Accidental,Tsareena,Cloyster
All Star Premier League,Ubers,Season 2,ChrisChaosGamer,Groudon,Zekrom
All Star Premier League,Ubers,Season 2,Love,Zekrom,Groudon
All Star Premier League,T3 and Below,Season 2,AmirAlexander,Talonflame,Toxicroak
All Star Premier League,T3 and Below,Season 2,SleepySheepy,Toxicroak,Talonflame
SKL,Main,Season 6,Rick Gastly's Troupe,Tyrantrum,Flygon
SKL,Main,Season 6,Whiscash Wanderers,Flygon,Tyrantrum
SKL,Main,Season 6,Pillars of Tahoma,Raichu,Cryogonal
SKL,Main,Season 6,Vegas Night Marchers,Cryogonal,Raichu
SKL,Main,Season 6,Sundsvall Seels,Sandslash,Armaldo
SKL,Main,Season 6,Whiscash Wanderers,Armaldo,Sandslash
SKL,Main,Season 5,Islamic State Oddish,Togekiss,Raikou
SKL,Main,Season 5,Phoenix Blaze,Raikou,Togekiss
SKL,Main,Season 5,DC Darmanitans,Carracosta,Sandslash
SKL,Main,Season 5,The Arctic Mankeys,Sandslash,Carracosta
SKL,Main,Season 5,The Duffled Bags,Raichu-Alola,Gligar
SKL,Main,Season 5,Northeastern Duskies,Gligar,Raichu-Alola
SKL,Main,Season 4,Colorado Avaluggs,Silvally,Meloetta
SKL,Main,Season 4,Libretto Lugias,Meloetta,Silvally
SKL,Main,Season 4,Colorado Avaluggs,Tapu Bulu,Keldeo
SKL,Main,Season 4,The Duffled Bags,Keldeo,Tapu Bulu
SKL,Main,Season 4,Colorado Avaluggs,Hawlucha,Blissey
SKL,Main,Season 4,The Duffled Bags,Blissey,Hawlucha
SKL,Main,Season 4,Gallifreyan Gallades,Terrakion,Nihilego
SKL,Main,Season 4,Montreal Togedemaru,Nihilego,Terrakion
SKL,Main,Season 3,Sin City Stunfisks,Drapion,Eelektross
SKL,Main,Season 3,The Arctic Mankeys,Eelektross,Drapion
Cascade Draft League,Masters,Season 7,San Francisco Brandons,Morpeko,Shellos
Cascade Draft League,Masters,Season 7,La Tuque's Xatus,Shellos,Morpeko
